,Unnamed: 0.1,Unnamed: 0,Ip address,malicious,suspicious,undetected,harmless,timeout
0,0.0,0.0,43.134.226.102,11,2,22,55,0
1,1.0,1.0,47.128.29.101,1,0,24,65,0
2,2.0,2.0,218.92.0.118,10,2,22,56,0
3,3.0,3.0,197.188.47.221,2,0,25,63,0
4,4.0,4.0,167.94.138.151,5,1,24,60,0
5,5.0,5.0,64.62.197.30,10,1,23,56,0
6,6.0,6.0,97.74.85.237,11,2,21,56,0
7,7.0,7.0,68.65.169.185,0,0,90,0,0
8,8.0,8.0,167.94.138.149,5,1,24,60,0
9,9.0,9.0,134.236.162.124,1,0,26,63,0
10,10.0,10.0,114.55.236.21,5,1,25,59,0
11,11.0,11.0,197.255.141.3,1,0,27,62,0
12,12.0,12.0,91.149.240.139,9,1,23,57,0
13,13.0,13.0,191.84.236.136,3,1,25,61,0
14,14.0,14.0,180.115.165.44,1,0,27,62,0
15,15.0,15.0,18.117.137.19,0,0,90,0,0
16,16.0,16.0,167.94.138.148,5,1,24,60,0
17,17.0,17.0,186.6.1.77,0,0,90,0,0
18,18.0,18.0,64.62.197.241,10,2,23,55,0
19,19.0,19.0,167.94.138.147,5,1,24,60,0
20,20.0,,106.75.182.210,13,2,20,55,0
21,21.0,,190.31.136.129,0,0,90,0,0
22,22.0,,101.93.235.6,0,0,90,0,0
23,23.0,,144.126.156.227,3,0,24,63,0
24,24.0,,182.151.1.92,2,1,24,63,0
25,25.0,,58.209.82.184,10,2,23,55,0
26,26.0,,130.0.177.161,10,2,23,55,0
27,27.0,,77.235.129.231,0,0,90,0,0
28,28.0,,35.203.210.182,13,1,24,52,0
29,29.0,,222.215.41.25,10,1,23,56,0
30,30.0,,49.51.102.206,15,2,21,52,0
31,31.0,,78.194.244.114,3,0,26,61,0
32,32.0,,221.159.3.82,10,1,23,56,0
33,33.0,,95.214.55.244,10,1,24,55,0
34,34.0,,35.203.210.175,9,1,25,55,0
35,35.0,,202.188.109.48,8,2,23,57,0
36,36.0,,35.203.210.161,7,1,25,57,0
37,37.0,,35.203.210.154,8,1,25,56,0
38,38.0,,116.202.9.154,8,1,24,57,0
39,39.0,,45.129.14.128,14,1,23,52,0
40,,,106.75.182.210,13,2,20,55,0
41,,,190.31.136.129,0,0,90,0,0
42,,,101.93.235.6,0,0,90,0,0
43,,,144.126.156.227,3,0,24,63,0
44,,,182.151.1.92,2,1,24,63,0
45,,,58.209.82.184,10,2,23,55,0
46,,,130.0.177.161,10,2,23,55,0
47,,,77.235.129.231,0,0,90,0,0
48,,,35.203.210.182,13,1,24,52,0
49,,,222.215.41.25,10,1,23,56,0
50,,,49.51.102.206,15,2,21,52,0
51,,,78.194.244.114,3,0,26,61,0
52,,,221.159.3.82,10,1,23,56,0
53,,,95.214.55.244,10,1,24,55,0
54,,,35.203.210.175,9,1,25,55,0
55,,,202.188.109.48,8,2,23,57,0
56,,,35.203.210.161,7,1,25,57,0
57,,,35.203.210.154,8,1,25,56,0
58,,,116.202.9.154,8,1,24,57,0
59,,,45.129.14.128,14,1,23,52,0
