,Ip address,malicious,suspicious,undetected,harmless,timeout
0,162.216.149.140,10,1,24,55,0
1,150.109.13.165,13,2,21,54,0
2,198.199.101.120,5,2,25,58,0
3,64.62.197.151,8,0,25,57,0
4,127.0.0.1,2,0,23,65,0
5,188.166.105.120,11,2,22,55,0
6,185.11.61.88,16,2,22,50,0
7,43.159.142.70,8,2,22,58,0
8,150.95.27.232,12,1,24,53,0
9,110.45.145.194,10,3,23,54,0
10,185.56.151.243,0,0,27,63,0
11,185.45.212.231,15,2,22,51,0
12,47.128.34.184,0,0,26,64,0
13,211.210.152.106,8,2,23,57,0
14,78.135.85.201,13,2,21,54,0
15,35.203.210.127,10,1,25,54,0
16,218.92.0.31,10,2,23,55,0
17,193.32.162.89,8,1,23,58,0
18,149.129.67.202,9,2,24,55,0
19,89.109.15.20,11,1,24,54,0
